# t                       norm_latt	                t                  norm_cont
   9.78125000000000       1.165780904635231E-003	9.78125    0.0011658285597992417864   
   9.81250000000000       1.161356687720291E-003	9.8125    0.0011613100450893845793   
   9.84375000000000       1.156942474535350E-003	9.84375    0.0011568022484384753586   
   9.87500000000000       1.152538289525874E-003	9.875    0.0011523051915035400518   
   9.90625000000000       1.148144156515161E-003	9.90625    0.0011478188953083451223   
   9.93750000000000       1.143760098716073E-003	9.9375    0.0011433433802558660532   
   9.96875000000000       1.139386138742320E-003	9.96875    0.0011388786661404838037   
   10.0000000000000       1.135022298619461E-003	10.    0.0011344247721599136477   
   10.0312500000000       1.130668599795990E-003	10.0313    0.0011299817169268707902   
   10.0625000000000       1.126325063153977E-003	10.0625    0.0011255495184804771486   
   10.0937500000000       1.121991709019369E-003	10.0938    0.0011211281942974136662   
   10.1250000000000       1.117668557172303E-003	10.125    0.0011167177613028225084   
   10.1562500000000       1.113355626857051E-003	10.1563    0.0011123182358809634706   
   10.1875000000000       1.109052936791864E-003	10.1875    0.0011079296338856289036   
   10.2187500000000       1.104760505178410E-003	10.2188    0.0011035519706503214386   
   10.2500000000000       1.100478349711117E-003	10.25    0.0010991852609981987638   
   10.2812500000000       1.096206487586548E-003	10.2813    0.0010948295192517896784   
   10.3125000000000       1.091944935512082E-003	10.3125    0.0010904847592424856175   
   10.3437500000000       1.087693709714639E-003	10.3438    0.0010861509943198118086   
   10.3750000000000       1.083452825949477E-003	10.375    0.0010818282373604821885   
   10.4062500000000       1.079222299508291E-003	10.4063    0.0010775165007772421709   
   10.4375000000000       1.075002145227543E-003	10.4375    0.0010732157965275033209   
   10.4687500000000       1.070792377496286E-003	10.4688    0.0010689261361217739541   
   10.5000000000000       1.066593010264131E-003	10.5    0.0010646475306318896363   
   10.5312500000000       1.062404057048771E-003	10.5313    0.0010603799906990475246   
   10.5625000000000       1.058225530943337E-003	10.5625    0.0010561235265416484443   
   10.5937500000000       1.054057444623955E-003	10.5938    0.0010518781479629505571   
   10.6250000000000       1.049899810356519E-003	10.625    0.0010476438643585384331   
   10.6562500000000       1.045752640003822E-003	10.6563    0.0010434206847236112928   
   10.6875000000000       1.041615945032275E-003	10.6875    0.0010392086176600941452   
   10.7187500000000       1.037489736518615E-003	10.7188    0.0010350076713835754985   
   10.7500000000000       1.033374025156243E-003	10.75    0.0010308178537300752795   
   10.7812500000000       1.029268821261614E-003	10.7813    0.0010266391721626465456   
   10.8125000000000       1.025174134780376E-003	10.8125    0.0010224716337778145338   
   10.8437500000000       1.021089975293427E-003	10.8438    0.0010183152453118565381   
   10.8750000000000       1.017016352022728E-003	10.875    0.0010141700131469260648   
   10.9062500000000       1.012953273837100E-003	10.9063    0.0010100359433170246626   
   10.9375000000000       1.008900749257812E-003	10.9375    0.0010059130415138247825   
   10.9687500000000       1.004858786464000E-003	10.9688    0.0010018013130923469699   
   11.0000000000000       1.000827393298080E-003	11.    0.00099770076307649464508   
   11.0312500000000       9.968065772708872E-004	11.0313    0.00099361139616444968283   
   11.0625000000000       9.927963455667651E-004	11.0625    0.00098953321673393194854   
   11.0937500000000       9.887967050486114E-004	11.0938    0.00098546622884732590538   
   11.1250000000000       9.848076622625841E-004	11.125    0.00098141043625667735576   
   11.1562500000000       9.808292234429112E-004	11.1563    0.00097736584240856333381   
   11.1875000000000       9.768613945164853E-004	11.1875    0.00097333245044883811715   
   11.2187500000000       9.729041811073449E-004	11.2188    0.00096931026322725827877   
   11.2500000000000       9.689575885410747E-004	11.25    0.00096529928330198965218   
   11.2812500000000       9.650216218490671E-004	11.2813    0.00096129951294399903529   
   11.3125000000000       9.610962857726626E-004	11.3125    0.00095731095414133341176   
   11.3437500000000       9.571815847673438E-004	11.3438    0.00095333360860328942109   
   11.3750000000000       9.532775230065499E-004	11.375    0.00094936747776447576231   
   11.4062500000000       9.493841043857132E-004	11.4063    0.00094541256278877116946   
   11.4375000000000       9.455013325258825E-004	11.4375    0.00094146886457318055104   
   11.4687500000000       9.416292107775221E-004	11.4688    0.00093753638375159183958   
   11.5000000000000       9.377677422240525E-004	11.5    0.00093361512069843605220   
   11.5312500000000       9.339169296853737E-004	11.5313    0.00092970507553225301753   
   11.5625000000000       9.300767757213647E-004	11.5625    0.00092580624811916517980   
   11.5937500000000       9.262472826350387E-004	11.5938    0.00092191863807626184646   
   11.6250000000000       9.224284524759789E-004	11.625    0.00091804224477489620143   
   11.6562500000000       9.186202870434322E-004	11.6563    0.00091417706734389736269   
   11.6875000000000       9.148227878894462E-004	11.6875    0.00091032310467269971955   
   11.7187500000000       9.110359563218100E-004	11.7188    0.00090648035541439174217   
   11.7500000000000       9.072597934071665E-004	11.75    0.00090264881798868641360   
   11.7812500000000       9.034942999736500E-004	11.7813    0.00089882849058481539260   
